Team	Event Name	Date	Friday	Friday-text	Sunday	Sunday-text	Weekend	City	State	
2011 - 10U	Stan Maley Memorial - Canfield Area	05/27/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	Canfield	 OH	Canfield,  OH
2011 - 10U	Stan Maley Memorial - Canfield Area	05/28/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	Canfield	 OH	Canfield,  OH
2011 - 10U	Stan Maley Memorial - Canfield Area	05/29/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	Canfield	 OH	Canfield,  OH
2011 - 10U	Streak Event	04/29/22	04/29/22	04/29	05/01/22	05/01	04/29 - 05/01	 New Middletown	 OH	 New Middletown,  OH
2011 - 10U	Streak Event	04/30/22	04/29/22	04/29	05/01/22	05/01	04/29 - 05/01	 New Middletown	 OH	 New Middletown,  OH
2011 - 10U	Streak Event	05/01/22	04/29/22	04/29	05/01/22	05/01	04/29 - 05/01	 New Middletown	 OH	 New Middletown,  OH
2011 - 10U	Thunder Elite Mayhem Tournament	04/22/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Youngstown	 OH	 Youngstown,  OH
2011 - 10U	Thunder Elite Mayhem Tournament	04/23/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Youngstown	 OH	 Youngstown,  OH
2011 - 10U	Thunder Elite Mayhem Tournament	04/24/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Youngstown	 OH	 Youngstown,  OH
2012 - 10U	Choose Joy	05/13/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2012 - 10U	Choose Joy	05/15/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2012 - 10U	Mapleleaf Classic	06/04/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2012 - 10U	Mapleleaf Classic	06/05/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2012 - 10U	Ohio Spring Fever	05/20/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Stow	 OH	Stow,  OH
2012 - 10U	Ohio Spring Fever	05/21/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Stow	 OH	Stow,  OH
2012 - 10U	Ohio Spring Fever	05/22/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Stow	 OH	Stow,  OH
2012 - 10U	Racers Early Bird Tournament	05/07/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2012 - 10U	Racers Early Bird Tournament	05/08/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2012 - 10U	Robert Lee Memorial	04/16/22	04/15/22	04/15	04/17/22	04/17	04/15 - 04/17	 Youngstown	 OH	 Youngstown,  OH
2012 - 10U	Shamrock Classic	03/19/22	03/18/22	03/18	03/20/22	03/20	03/18 - 03/20	 Mount Vernon	 OH	 Mount Vernon,  OH
